,№,Season,Team,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90,Player,League,Pos
4,5.0,2015/2016,Genoa,1,90,0,0,0.0,0.0,0.00,0.00,0.0,0.0,Juraj Kucka,Ligue1,F
5,6.0,2014/2015,Genoa,34,1850,2,0,2.09,0.49,3.68+1.68,1.13+1.13,0.18,0.05,Juraj Kucka,Ligue1,F
6,,,,138,9584,16,10,1.81,0.9,15.99-0.01,9.81-0.19,0.15,0.09,Juraj Kucka,Ligue1,F
0,1.0,2019/2020,Strasbourg,26,2082,8,4,2.16,0.69,6.46-1.54,3.36-0.64,0.28,0.15,Ludovic Ajorque,Ligue1,F
1,2.0,2018/2019,Strasbourg,25,1541,9,1,2.69,0.82,5.79-3.21,1.09+0.09,0.34,0.06,Ludovic Ajorque,Ligue1,F
2,,,,51,3623,17,5,2.38,0.75,12.25-4.75,4.45-0.55,0.3,0.11,Ludovic Ajorque,Ligue1,F
0,1.0,2019/2020,Lyon,27,2184,16,2,2.31,0.87,11.40-4.60,1.68-0.32,0.47,0.07,Moussa Dembele,Ligue1,F
1,2.0,2018/2019,Lyon,33,2011,15,4,4.03,1.34,16.16+1.16,2.93-1.07,0.72,0.13,Moussa Dembele,Ligue1,F
2,,,,60,4195,31,6,3.13,1.09,27.56-3.44,4.61-1.39,0.59,0.1,Moussa Dembele,Ligue1,F
0,1.0,2019/2020,Marseille,26,2142,11,0,2.56,0.84,9.78-1.22,1.55+1.55,0.41,0.06,Darío Benedetto,Ligue1,F
1,,,,26,2142,11,0,2.56,0.84,9.78-1.22,1.55+1.55,0.41,0.06,Darío Benedetto,Ligue1,F
0,1.0,2019/2020,Montpellier,28,2269,6,5,2.54,0.95,8.41+2.41,3.18-1.82,0.33,0.13,Gaetan Laborde,Ligue1,F
1,2.0,2018/2019,Montpellier,36,2935,11,4,2.61,1.17,9.14-1.86,5.81+1.81,0.28,0.18,Gaetan Laborde,Ligue1,F
2,3.0,2018/2019,Bordeaux,1,90,0,0,0.0,1.0,0.00,0.02+0.02,0.0,0.02,Gaetan Laborde,Ligue1,F
3,4.0,2017/2018,Bordeaux,20,950,3,0,2.94,0.76,3.91+0.91,0.31+0.31,0.37,0.03,Gaetan Laborde,Ligue1,F
4,5.0,2016/2017,Bordeaux,36,2018,6,5,2.36,1.29,6.89+0.89,4.27-0.73,0.31,0.19,Gaetan Laborde,Ligue1,F
5,6.0,2015/2016,Bordeaux,1,11,0,0,8.18,0.0,0.06+0.06,0.00,0.45,0.0,Gaetan Laborde,Ligue1,F
6,,,,122,8273,26,14,2.55,1.09,28.40+2.40,13.59-0.41,0.31,0.15,Gaetan Laborde,Ligue1,F
0,1.0,2019/2020,Monaco,26,2195,18,4,2.62,1.85,14.89-3.11,6.42+2.42,0.61,0.26,Wissam Ben Yedder,Ligue1,F
1,2.0,2018/2019,Sevilla,35,2823,18,9,2.42,1.43,18.92+0.92,7.87-1.13,0.6,0.25,Wissam Ben Yedder,Ligue1,F
2,3.0,2017/2018,Sevilla,25,1701,9,3,2.65,1.48,12.73+3.73,2.19-0.81,0.67,0.12,Wissam Ben Yedder,Ligue1,F
3,4.0,2016/2017,Sevilla,31,1669,11,4,2.37,1.4,7.92-3.08,2.79-1.21,0.43,0.15,Wissam Ben Yedder,Ligue1,F
4,5.0,2015/2016,Toulouse,35,2907,17,5,2.88,0.96,17.17+0.17,3.83-1.17,0.53,0.12,Wissam Ben Yedder,Ligue1,F
5,6.0,2014/2015,Toulouse,36,2890,14,3,2.55,1.71,11.60-2.40,5.41+2.41,0.36,0.17,Wissam Ben Yedder,Ligue1,F
6,,,,188,14185,87,28,2.59,1.46,83.22-3.78,28.51+0.51,0.53,0.18,Wissam Ben Yedder,Ligue1,F
0,1.0,2019/2020,Lille,27,2294,13,4,3.37,0.82,15.81+2.81,3.07-0.93,0.62,0.12,Victor Osimhen,Ligue1,F
1,2.0,2017/2018,Wolfsburg,12,277,0,0,2.6,0.32,0.72+0.72,0.09+0.09,0.23,0.03,Victor Osimhen,Ligue1,F
2,3.0,2016/2017,Wolfsburg,2,43,0,0,2.09,2.09,0.01+0.01,0.04+0.04,0.03,0.08,Victor Osimhen,Ligue1,F
3,,,,41,2614,13,4,3.27,0.79,16.54+3.54,3.20-0.80,0.57,0.11,Victor Osimhen,Ligue1,F
0,1.0,2019/2020,Metz,26,2214,12,3,3.09,0.98,9.17-2.83,1.98-1.02,0.37,0.08,Habib Diallo,Ligue1,F
1,2.0,2017/2018,Metz,1,14,0,0,0.0,0.0,0.00,0.00,0.0,0.0,Habib Diallo,Ligue1,F
2,3.0,2016/2017,Metz,19,809,1,0,2.34,0.78,2.08+1.08,0.34+0.34,0.23,0.04,Habib Diallo,Ligue1,F
3,,,,46,3037,13,3,2.87,0.92,11.25-1.75,2.32-0.68,0.33,0.07,Habib Diallo,Ligue1,F
0,1.0,2019/2020,Montpellier,26,2292,9,3,3.3,1.49,11.82+2.82,4.78+1.78,0.46,0.19,Andy Delort,Ligue1,F
1,2.0,2018/2019,Montpellier,36,3160,14,7,3.36,1.59,14.12+0.12,7.16+0.16,0.4,0.2,Andy Delort,Ligue1,F
2,3.0,2017/2018,Toulouse,32,2332,5,5,2.7,1.7,8.41+3.41,4.43-0.57,0.32,0.17,Andy Delort,Ligue1,F
3,4.0,2016/2017,Toulouse,15,1234,5,0,2.77,0.36,5.54+0.54,1.27+1.27,0.4,0.09,Andy Delort,Ligue1,F
4,5.0,2015/2016,Caen,36,3142,12,2,4.04,1.09,15.98+3.98,4.10+2.10,0.46,0.12,Andy Delort,Ligue1,F
5,,,,145,12160,45,17,3.34,1.34,55.87+10.87,21.74+4.74,0.41,0.16,Andy Delort,Ligue1,F
