Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Enrico Alfonso\Enrico-Alfonso,it ITA,GK,Brescia,31,1988,3.1,4,0,0,0,0,2.0,0.18,-2.0,-0.66,11,32,34.4,51,8,45.1,37.0,24,37.5,32.8,38,2,5.3,4,1.29,16.3,Matches
2,Lorenzo Andrenacci\Lorenzo-Andrenacci,it ITA,GK,Brescia,24,1995,5.9,16,0,1,1,0,12.9,0.29,-3.1,-0.52,33,66,50.0,97,45,33.0,35.4,66,51.5,43.5,56,1,1.8,2,0.34,12.4,Matches
3,Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,22,1997,36.0,60,7,0,11,4,52.8,0.29,-3.2,-0.09,203,558,36.4,748,130,50.1,41.5,289,63.3,46.8,399,32,8.0,19,0.53,14.2,Matches
4,Asmir Begović\Asmir-Begovic,ba BIH,GK,Milan,32,1987,1.4,3,1,0,0,0,3.1,0.39,+0.1,+0.06,4,11,36.4,24,5,33.3,32.8,12,25.0,32.3,8,0,0.0,0,0.00,15.5,Matches
5,Etrit Berisha\Etrit-Berisha,al ALB,GK,SPAL,30,1989,26.0,41,6,1,2,2,44.2,0.28,+2.2,+0.09,196,440,44.5,650,136,46.0,37.4,234,60.3,45.9,276,21,7.6,14,0.54,13.6,Matches
6,Federico Brancolini\Federico-Brancolini,it ITA,GK,Fiorentina,18,2001,0.1,0,0,0,0,0,0.0,,0.0,0.00,1,1,100.0,2,0,0.0,27.5,1,100.0,67.0,0,0,,0,0.00,21.0,Matches
7,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,Juventus,41,1978,9.0,10,1,0,2,0,7.7,0.21,-2.3,-0.26,22,38,57.9,157,40,17.8,27.4,55,18.2,22.9,76,1,1.3,7,0.78,16.4,Matches
8,Simone Colombi\Simone-Colombi,it ITA,GK,Parma,28,1991,4.0,4,1,0,0,0,4.1,0.20,+0.1,+0.03,11,24,45.8,59,16,27.1,31.1,39,20.5,24.6,33,2,6.1,0,0.00,11.7,Matches
9,Andrea Consigli\Andrea-Consigli,it ITA,GK,Sassuolo,32,1987,31.0,55,7,1,9,3,50.0,0.32,-2.0,-0.07,141,339,41.6,789,136,34.2,32.7,206,33.5,30.0,292,25,8.6,20,0.65,14.9,Matches
10,Angelo da Costa Júnior\Angelo-da-Costa-Junior,br BRA,GK,Bologna,35,1983,1.0,1,0,0,0,0,0.9,0.46,-0.1,-0.08,2,4,50.0,24,4,16.7,28.1,4,0.0,17.5,3,0,0.0,1,1.00,18.8,Matches
11,Alessio Cragno\Alessio-Cragno,it ITA,GK,Cagliari,25,1994,16.0,21,1,0,2,1,23.8,0.26,+3.8,+0.24,87,251,34.7,318,67,51.6,40.7,157,55.4,43.0,176,14,8.0,5,0.31,11.5,Matches
